time	wake_longitudinal
1.538929489645586e-11	1229.958282563407
1.5410572815741133e-11	1245.4311864822764
1.5431880154818033e-11	1260.9052939188978
1.5453216954363662e-11	1276.322198185403
1.547458325511137e-11	1291.7604185451287
1.549597909785088e-11	1307.2199844706936
1.551740452342813e-11	1322.7009254753268
1.5538859572745723e-11	1338.2032711132053
1.5560344286762755e-11	1353.7270509793223
1.5581858706494948e-11	1369.272294709585
1.5603402873014735e-11	1384.8390319808855
1.5624976827451343e-11	1400.4272925111404
1.5646580610990858e-11	1416.0371060593586
1.566821426487632e-11	1431.6685024257
1.5689877830407786e-11	1447.3215114515137
1.5711571348942424e-11	1462.9961630194266
1.5733294861894574e-11	1478.6924870533683
1.5755048410735848e-11	1494.4105135186514
1.5776832036995194e-11	1510.1502724220181
1.579864578225898e-11	1525.9117938116942
1.5820489688171067e-11	1541.6951077774572
1.5842363796432905e-11	1557.5002444506822
1.5864268148803597e-11	1573.327234004415
1.5886202787099987e-11	1589.1532985592278
1.590816775319673e-11	1604.892827814302
1.5930163089026384e-11	1620.6355787260777
1.5952188836579488e-11	1636.4000962610528
1.597424503790463e-11	1652.1864105147126
1.5996331735108542e-11	1667.9945516241694
1.6018448970356176e-11	1683.8245497681944
1.604059678587078e-11	1699.676435167296
1.6062775223933983e-11	1715.5502380837554
1.6084984326885873e-11	1731.4459888217023
1.610722413712508e-11	1747.3637177271662
1.612949469710886e-11	1763.3034551881308
1.6151796049353166e-11	1779.2652316345984
1.617412823643274e-11	1795.2490775386439
1.6196491300981185e-11	1811.255023414474
1.6218885285691126e-11	1827.283099818538
1.6241310233314005e-11	1843.3333373493847
1.6263766186660585e-11	1859.4057666480126
1.6286253188600748e-11	1875.500418397741
1.6308771282063653e-11	1891.6173233243153
1.6331320510037814e-11	1907.7565121959628
1.635390091557118e-11	1923.8988053605553
1.6376512541771227e-11	1939.9037793384364
1.6399155431805023e-11	1955.9308825007106
1.6421829628899328e-11	1971.9801454441658
1.6444535176340668e-11	1988.0515988078994
1.646727211747542e-11	2004.1452732733635
1.649004049570989e-11	2020.2611995644345
1.6512840354510402e-11	2036.3994084474755
1.653567173740338e-11	2052.5599307313764
1.6558534687975424e-11	2068.742797267636
1.6581429249873405e-11	2084.9480389504047
1.6604355466804534e-11	2101.175686716546
1.6627313382536468e-11	2117.425771545703
1.6650303040897363e-11	2133.6983244603507
1.6673324485775985e-11	2149.993376525859
1.6696377761121772e-11	2166.3109588505426
1.6719462910944942e-11	2182.6511025857385
1.6742579979316554e-11	2199.0138389258527
1.67657290103686e-11	2215.3991991084104
1.67889100482941e-11	2231.8072144141433
1.6812123137347165e-11	2248.237916167024
1.6835368321843108e-11	2264.529799436734
1.6858645646158504e-11	2280.7958071922403
1.6881955154731286e-11	2297.0843050489825
1.6905296892060836e-11	2313.3953241027666
1.692867090270805e-11	2329.7288954923893
1.695207723129545e-11	2346.0850503997144
1.6975515922507312e-11	2362.4638200497557
1.6998987021089496e-11	2378.865235710557
1.7022490571849932e-11	2395.2893286935455
1.7046026619658437e-11	2411.7361303533903
1.706959520944687e-11	2428.2056720881124
1.7093196386209202e-11	2444.6979853391413
1.711683019500163e-11	2461.213101591379
1.714049668094264e-11	2477.7510523732694
1.7164195889213097e-11	2494.3118692568387
1.7187927865056347e-11	2510.8955838577717
1.721169265377828e-11	2527.5022278354627
1.7235490300747436e-11	2544.1318328930815
1.7259320851395077e-11	2560.7844307776345
1.728318435121528e-11	2577.397867547221
1.7307080845765032e-11	2593.9013989252962
1.7331010380664306e-11	2610.4012725407906
1.7354973001596144e-11	2626.904166188061
1.7378968754306758e-11	2643.4298774654662
1.7402997684605614e-11	2659.9784379216762
1.742705983836551e-11	2676.549879148967
1.7451155261522666e-11	2693.1442327833074
1.747528400007683e-11	2709.7615305044064
1.7499446100091337e-11	2726.401804035766
1.7523641607693216e-11	2743.0650851447626
1.7547870569073276e-11	2759.751405642691
1.757213303048619e-11	2776.460797384825
1.7596429038250582e-11	2793.1932922704864
1.7620758638749122e-11	2809.9489222431043
1.7645121878428606e-11	2826.72771929027
1.7669518803800054e-11	2843.5297154438063
1.7693949461438793e-11	2860.3549427798225
1.771841389798455e-11	2877.2034334187847
1.7742912160141526e-11	2894.0273553139455
1.7767444294678513e-11	2910.702185625712
1.7792010348429032e-11	2927.400071294895
1.781661036829114e-11	2944.0860663324956
1.7841244401227957e-11	2960.777054052602
1.7865912494267465e-11	2977.491119470021
1.789061469450267e-11	2994.228294493001
1.791535104909168e-11	3010.9886110739026
1.794012160525782e-11	3027.772101209261
1.79649264102897e-11	3044.5787969398657
1.7989765511541316e-11	3061.4087303507913
1.801463895643214e-11	3078.261933571488
1.80395467924472e-11	3095.1384387758167
1.806448906713719e-11	3112.0382781821336
1.808946582811854e-11	3128.961484053332
1.811447712307352e-11	3145.908088696929
1.8139522999750334e-11	3162.878124465093
1.8164603505963193e-11	3179.871623754738
1.8189718689592426e-11	3196.8886190075614
1.8214868598584562e-11	3213.779564278139
1.8240053280952423e-11	3230.5970261505327
1.8265272784775214e-11	3247.437740588991
1.8290527158198618e-11	3264.2849266226785
1.831581644943489e-11	3281.1120759599353
1.834114070676293e-11	3297.9624912575787
1.8366499978528413e-11	3314.8362046841485
1.8391894313143844e-11	3331.7332484526687
1.841732375908867e-11	3348.6536548207087
1.8442788364909364e-11	3365.5974560904174
1.8468288179219526e-11	3382.5646846086324
1.849382325069997e-11	3399.5553727668944
1.8519393628098818e-11	3416.569553001547
1.8544999360231594e-11	3433.6072577937657
1.8570640495981313e-11	3450.668519669649
1.8596317084298583e-11	3467.7533712002546
1.8622029174201766e-11	3484.8618450017425
1.864777681477677e-11	3501.993973735198
1.8673560055177605e-11	3519.02381510641
1.8699378944626162e-11	3535.931262693618
1.8725233532412388e-11	3552.8620872651218
1.8751123867894383e-11	3569.8163211429633
1.877705000049849e-11	3586.766725993802
1.88030119797194e-11	3603.700538725383
1.882900985512022e-11	3620.6577648948733
1.8855043676332597e-11	3637.6384368747285
1.8881113493056804e-11	3654.642587082153
1.890721935506182e-11	3671.6702479791898
1.8933361312185448e-11	3688.721452072755
1.895953941433439e-11	3705.7962319147077
1.898575371148436e-11	3722.8946201019307
1.9012004253680165e-11	3740.01664927636
1.9038291091035804e-11	3757.162352125066
1.9064614273734574e-11	3774.3317613803224
1.909097385202915e-11	3791.524909819652
1.911736987624169e-11	3808.741830265898
1.9143802396763933e-11	3825.755186119052
1.917027146405729e-11	3842.7215803806403
1.919677712865294e-11	3859.711433128796
1.9223319441151938e-11	3876.7247767982676
1.9249898452225283e-11	3893.760837666732
1.9276514212614053e-11	3910.7465844820676
1.9303166773129477e-11	3927.7558165416717
1.932985618465303e-11	3944.7885663172747
1.9356582498136552e-11	3961.844866325519
1.938334576460232e-11	3978.9247491279943
1.941014603514316e-11	3996.028247331309
1.9436983360922543e-11	4013.1553935871666
1.946385779317468e-11	4030.3062205924057
1.9490769383204618e-11	4047.4807610890734
1.9517718182388425e-11	4064.6790478645516
1.9544704242172963e-11	4081.9011137513894
1.957172761407646e-11	4099.1469916276865
1.9598788349688307e-11	4116.259595921901
1.9625886500669213e-11	4133.229615124114
1.9653022118751326e-11	4150.223097824899
1.9680195255738312e-11	4167.24007646593
1.9707405963505468e-11	4184.280583533725
1.9734654293999817e-11	4201.3387144711805
1.9761940299240203e-11	4218.344049294705
1.9789264031317396e-11	4235.372896445738
1.9816625542394185e-11	4252.425288433469
1.984402488470549e-11	4269.501257812029
1.9871462110558443e-11	4286.60083718056
