#Parameters = {C_1=25.815589753809; C_2=96.34509258857; Conductivity_MoGr=1000000; Ip=99.743779456351; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=20; d=-346.34509258857; half_gap_x=4.1844102461909; half_gap_y=30; half_gap_z=125; offset=1.6737640984764; offset_x=1; offset_y=5; sigma_z=5; teta=15; thcoll=25.815589753809; translate_z=-221.34509258857; wakelength=20000}
#"s / mm"	"Z [Real Part / V/pC]"
#-------------------------------
43.861077651221	0.0013061315011718
44.107817488324	0.00026636537254085
44.354557325426	-0.00083597535860577
44.601297162529	-0.0019868205001355
44.848036999632	-0.0031715326584343
45.094776836734	-0.0043746565810936
45.341516673837	-0.0055803666203898
45.588256510940	-0.0067733226307002
45.834996348043	-0.0079390929751565
46.081736185145	-0.0090639627244541
46.328476022248	-0.010134633050076
46.575215859351	-0.011138461867911
46.821955696453	-0.012064041562937
47.068695533556	-0.012901610756977
47.315435370659	-0.013642961575666
47.562175207762	-0.014281273240075
47.808915044864	-0.014811305266021
48.055654881967	-0.015229784603627
48.302394719070	-0.015535484734954
48.549134556172	-0.015728829582029
48.795874393275	-0.015811583511256
49.042614230378	-0.015787024097866
49.289354067480	-0.015660366063631
49.536093904583	-0.015438676358310
49.782833741686	-0.015130093288508
50.029573578789	-0.014743019490465
50.276313415891	-0.014286054052669
50.523053252994	-0.013768525350725
50.769793090097	-0.013200677300185
51.016532927199	-0.012592916738189
51.263272764302	-0.011954741295075
51.510012601405	-0.011294272188655
51.756752438508	-0.010618708971561
52.003492275610	-0.0099348988649285
52.250232112713	-0.0092491023571547
52.496971949816	-0.0085661743595297
52.743711786918	-0.0078890349150154
52.990451624021	-0.0072189968369290
53.237191461124	-0.0065565157000859
53.483931298226	-0.0059014738822497
53.730671135329	-0.0052529190211440
53.977410972432	-0.0046088526224165
54.224150809535	-0.0039666025756133
54.470890646637	-0.0033235177637417
54.717630483740	-0.0026773724617316
54.964370320843	-0.0020263590776000
55.211110157945	-0.0013690665325981
55.457849995048	-0.00070486814382523
55.704589832151	-3.4492501053191e-05
55.951329669253	0.00063971975613830
56.198069506356	0.0013139700584129
56.444809343459	0.0019831026939605
56.691549180562	0.0026403410288940
56.938289017664	0.0032769864744969
57.185028854767	0.0038825796370070
57.431768691870	0.0044455398179178
57.678508528972	0.0049537029233141
57.925248366075	0.0053943515044251
58.171988203178	0.0057540736844479
58.418728040281	0.0060190690487088
58.665467877383	0.0061760953866802
58.912207714486	0.0062134339765999
59.158947551589	0.0061212026560542
59.405687388691	0.0058911318786057
59.652427225794	0.0055165847412527
59.899167062897	0.0049932572913431
60.145906899999	0.0043201566455244
60.392646737102	0.0035000837773077
60.639386574205	0.0025393661041608
60.886126411308	0.0014473922968090
61.132866248410	0.00023648404579573
61.379606085513	-0.0010778659154152
61.626345922616	-0.0024769102604774
61.873085759718	-0.0039390322189224
62.119825596821	-0.0054403965816393
62.366565433924	-0.0069555652895912
62.613305271027	-0.0084579624712712
62.860045108129	-0.0099204121241296
63.106784945232	-0.011315924763728
63.353524782335	-0.012618463358104
63.600264619437	-0.013803569098753
63.847004456540	-0.014848813214489
64.093744293643	-0.015734368232454
64.340484130745	-0.016443736746260
64.587223967848	-0.016964400568714
64.833963804951	-0.017288157858277
65.080703642054	-0.017411184849859
65.327443479156	-0.017334133706900
65.574183316259	-0.017062346056648
65.820923153362	-0.016605978157797
66.067662990464	-0.015979769385276
66.314402827567	-0.015202511084624
66.561142664670	-0.014296434268612
66.807882501772	-0.013286733702124
67.054622338875	-0.012201105678210
67.301362175978	-0.011069076678177
67.548102013081	-0.0099211177787004
67.794841850183	-0.0087877702586253
68.041581687286	-0.0076989034969794
68.288321524389	-0.0066830881402830
68.535061361491	-0.0057668588502110
68.781801198594	-0.0049738381613400
69.028541035697	-0.0043238613629589
69.275280872800	-0.0038323629852018
69.522020709902	-0.0035100331648912
69.768760547005	-0.0033627027071299
70.015500384108	-0.0033912973034949
70.262240221210	-0.0035918344128199
70.508980058313	-0.0039554276799575
70.755719895416	-0.0044683206360694
71.002459732518	-0.0051120546859971
71.249199569621	-0.0058638729849436
71.495939406724	-0.0066975131360819
71.742679243827	-0.0075841588417581
71.989419080929	-0.0084933856956254
72.236158918032	-0.0093938689472480
72.482898755135	-0.010253998248957
72.729638592237	-0.011042632229120
72.976378429340	-0.011730106846306
73.223118266443	-0.012289278178541
73.469858103546	-0.012696351814975
73.716597940648	-0.012931431066595
73.963337777751	-0.012978922217850
74.210077614854	-0.012828038876119
74.456817451956	-0.012473374126285
74.703557289059	-0.011915351977518
74.950297126162	-0.011160292602667
75.197036963264	-0.010220114935701
75.443776800367	-0.0091118798252642
75.690516637470	-0.0078574210864473
75.937256474573	-0.0064830152743971
76.183996311675	-0.0050189588860219
76.430736148778	-0.0034988413226690
76.677475985881	-0.0019585968149969
76.924215822983	-0.00043548427801790
77.170955660086	0.0010328184716893
77.417695497189	0.0024090569796035
77.664435334291	0.0036573271344522
77.911175171394	0.0047441344410529
78.157915008497	0.0056394769513224
78.404654845600	0.0063177071957247
78.651394682702	0.0067580898081662
78.898134519805	0.0069451909065078
79.144874356908	0.0068692765821012
79.391614194010	0.0065267948744930
79.638354031113	0.0059207997164257
79.885093868216	0.0050610670553959
80.131833705319	0.0039639515815957
80.378573542421	0.0026519481207472
80.625313379524	0.0011531793197656
80.872053216627	-0.00049924680280666
81.118793053729	-0.0022679079361795
81.365532890832	-0.0041118010818492
81.612272727935	-0.0059871433511759
81.859012565037	-0.0078483487113308
82.105752402140	-0.0096491481052573
82.352492239243	-0.011343786037418
82.599232076346	-0.012888128819590
82.845971913448	-0.014240572809412
83.092711750551	-0.015362919717028
83.339451587654	-0.016221388410046
83.586191424756	-0.016787645815917
83.832931261859	-0.017039602807364
84.079671098962	-0.016961776180933
84.326410936065	-0.016545411138559
84.573150773167	-0.015788724493844
84.819890610270	-0.014697371913276
85.066630447373	-0.013284767621073
85.313370284475	-0.011571845190893
85.560110121578	-0.0095863102388967
85.806849958681	-0.0073617714144012
86.053589795783	-0.0049371822929245
86.300329632886	-0.0023563746881008
86.547069469989	0.00033271290318657
86.793809307092	0.0030792677412385
87.040549144194	0.0058308717295188
87.287288981297	0.0085345321593415
87.534028818400	0.011137534967874
87.780768655502	0.013588543003041
88.027508492605	0.015839061527730
88.274248329708	0.017844783811643
88.520988166811	0.019566394163125
88.767728003913	0.020969905675367
89.014467841016	0.022027111368675
89.261207678119	0.022716527634608
89.507947515221	0.023024468405511
89.754687352324	0.022945540286137
90.001427189427	0.022482414356857
90.248167026529	0.021645337476539
90.494906863632	0.020451930172595
90.741646700735	0.018927202332166
90.988386537838	0.017103216817435
91.235126374940	0.015018180435754
91.481866212043	0.012715401361190
91.728606049146	0.010242525857553
91.975345886248	0.0076510617153289
92.222085723351	0.0049954909568848
92.468825560454	0.0023317293862965
92.715565397557	-0.00028470608156570
92.962305234659	-0.0027999699490999
93.209045071762	-0.0051624578004301
93.455784908865	-0.0073232035335083
93.702524745967	-0.0092368409118272
93.949264583070	-0.010862989382272
94.196004420173	-0.012167551507684
94.442744257275	-0.013123400268418
94.689484094378	-0.013710668532990
94.936223931481	-0.013917009416369
95.182963768584	-0.013737915951694
95.429703605686	-0.013176857393594
95.676443442789	-0.012245016585756
95.923183279892	-0.010960910882590
96.169923116994	-0.0093501696260993
96.416662954097	-0.0074453544322714
96.663402791200	-0.0052854036726236
96.910142628302	-0.0029145283996830
97.156882465405	-0.00038091516181298
97.403622302508	0.0022642926422418
97.650362139611	0.0049677282340476
97.897101976713	0.0076746189300831
98.143841813816	0.010329964869784
98.390581650919	0.012879889561824
98.637321488021	0.015272785312086
98.884061325124	0.017460196837108
99.130801162227	0.019397739038868
99.377540999330	0.021046198898396
99.624280836432	0.022372528764813
99.871020673535	0.023350367179334
100.11776051064	0.023960133171353
100.36450034774	0.024189222535121
100.61124018484	0.024032561774706
100.85798002195	0.023493220149105
101.10471985905	0.022582480864533
101.35145969615	0.021319218787510
101.59819953325	0.019729026024974
101.84493937036	0.017843642973692
102.09167920746	0.015700686940712
102.33841904456	0.013343192706510
102.58515888166	0.010818744911117
102.83189871877	0.0081783613926937
103.07863855587	0.0054754287100650
103.32537839297	0.0027647494377069
103.57211823008	0.00010141483666556
103.81885806718	-0.0024605207602577
104.06559790428	-0.0048692581244900
104.31233774138	-0.0070759933700544
104.55907757849	-0.0090354285110940
104.80581741559	-0.010706515527459
105.05255725269	-0.012053596731019
105.29929708979	-0.013047677946672
105.54603692690	-0.013667103142312
105.79277676400	-0.013897622426818
106.03951660110	-0.013732182828621
106.28625643821	-0.013170940132087
106.53299627531	-0.012221515831070
106.77973611241	-0.010899180382141
107.02647594951	-0.0092266823237879
