#Parameters = {C_1=25.412767459909; C_2=94.841739321315; Conductivity=10000000; Conductivity_Mo=17900000; Conductivity_MoGr=1000000; Ip=98.18739362802; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=20; conductivity_copper=59500000; d=-394.84173932132; half_gap_x=4.5872325400905; half_gap_y=30; half_gap_z=150; mu_copper=0.999994; offset=1.8348930160362; offset_x=1; offset_y=5; sigma_z=5; teta=15; thcoll=25.412767459909; translate_z=-244.84173932132; wakelength=20000}
#"s / mm"	"X [Real Part / V/pC]"
#-------------------------------
45.224356361240	0.053610323675485
45.451666339362	0.053537349453351
45.678976317483	0.053423579537876
45.906286295605	0.053267580478581
46.133596273727	0.053067742756881
46.360906251848	0.052822457875209
46.588216229970	0.052530396878934
46.815526208091	0.052190566543830
47.042836186213	0.051802102376532
47.270146164335	0.051364071357415
47.497456142456	0.050875511793914
47.724766120578	0.050335623551085
47.952076098700	0.049743858126170
48.179386076821	0.049099832090197
48.406696054943	0.048403234962492
48.634006033064	0.047653882308404
48.861316011186	0.046851828755469
49.088625989308	0.045997353098946
49.315935967429	0.045090809124177
49.543245945551	0.044132543802460
49.770555923673	0.043123013548962
49.997865901794	0.042062961895331
50.225175879916	0.040953422995776
50.452485858037	0.039795535228830
50.679795836159	0.038590400312862
50.907105814281	0.037339166514429
51.134415792402	0.036043220785186
51.361725770524	0.034704230084689
51.589035748646	0.033323970828371
51.816345726767	0.031904164025141
52.043655704889	0.030446522328887
52.270965683010	0.028952931877321
52.498275661132	0.027425518289832
52.725585639254	0.025866507728411
52.952895617375	0.024278065798971
53.180205595497	0.022662314528540
53.407515573619	0.021021473141403
53.634825551740	0.019357898330491
53.862135529862	0.017673947158598
54.089445507983	0.015971844126988
54.316755486105	0.014253743367972
54.544065464227	0.012521913285555
54.771375442348	0.010778786639146
54.998685420470	0.0090267757648082
55.225995398592	0.0072680570947328
55.453305376713	0.0055045810107358
55.680615354835	0.0037382882002288
55.907925332956	0.0019712646876314
56.135235311078	0.00020565349263739
56.362545289200	-0.0015565586068053
56.589855267321	-0.0033136300718832
56.817165245443	-0.0050639618537969
57.044475223565	-0.0068059688584972
57.271785201686	-0.0085380830383696
57.499095179808	-0.010258841075328
57.726405157929	-0.011966911799357
57.953715136051	-0.013661042835815
58.181025114173	-0.015340043311414
58.408335092294	-0.017002857034860
58.635645070416	-0.018648615005806
58.862955048538	-0.020276554190422
59.090265026659	-0.021885882181404
59.317575004781	-0.023475783327722
59.544884982902	-0.025045600913817
59.772194961024	-0.026594975748887
59.999504939146	-0.028123731237269
60.226814917267	-0.029631598245755
60.454124895389	-0.031118102081574
60.681434873511	-0.032582770873094
60.908744851632	-0.034025439895556
61.136054829754	-0.035446296323862
61.363364807875	-0.036845607281936
61.590674785997	-0.038223444017719
61.817984764119	-0.039579704714333
62.045294742240	-0.040914371145232
62.272604720362	-0.042227669922286
62.499914698484	-0.043519961024489
62.727224676605	-0.044791525850144
62.954534654727	-0.046042528609596
63.181844632848	-0.047273175045818
63.409154610970	-0.048483838927646
63.636464589092	-0.049674991097844
63.863774567213	-0.050847036254828
64.091084545335	-0.052000272275131
64.318394523457	-0.053135003445145
64.545704501578	-0.054251633007008
64.773014479700	-0.055350609020045
65.000324457821	-0.056432315339079
65.227634435943	-0.057497078954706
65.454944414065	-0.058545291431090
65.682254392186	-0.059577466119117
65.909564370308	-0.060594126926476
66.136874348430	-0.061595651333829
66.364184326551	-0.062582267828758
66.591494304673	-0.063554218857455
66.818804282794	-0.064511892376449
67.046114260916	-0.065455771094892
67.273424239038	-0.066386280060705
67.500734217159	-0.067303728378460
67.728044195281	-0.068208395482959
67.955354173402	-0.069100615607507
68.182664151524	-0.069980733284112
